month,date_iso,date_source,channel,type,title,impressions,views,engagements,clicks,attendees,chat_count,email_sends,article_views,interactions,link,link_type,report_month,date_raw
2025-03,2025-03-14,matched_provided,LinkedIn,Sponsored Post,We're excited to partner with Encore...,364,,44,27,,,,,,https://www.linkedin.com/company/govcongiants,platform,July 2025,14 Mar 2025
2025-03,2025-03-26,youtube_publish,Youtube,Sponsored Video,10 Things No One Tells You About Government Contracting,11200,801,,,,,,,,https://youtu.be/XKo6uoedzwk,direct,December 2025,
2025-04,2025-04-03,youtube_publish,Youtube,Sponsored Video,STOP Bidding Blind! $1B GovCon Expert Reveals Pricing Secrets,13400,1100,,,,,,,,https://youtu.be/wLjAAE3Yaws,direct,December 2025,
2025-04,2025-04-04,youtube_publish,Youtube,Sponsored Video,She Had NO MONEY... Now She's Beating 8(a)s!,15600,1300,,,,,,,,https://youtu.be/1a_7mhQN-g8,direct,December 2025,
2025-04,2025-04-08,youtube_publish,Youtube,Sponsored Video,REJECTED 38 TIMES... Then The City Manager Called!,10500,813,,,,,,,,https://youtu.be/9lCMcTe-gcA,direct,December 2025,
2025-04,2025-04-09,provided,FHC,Webinar,,,,,,36,87,,,,https://federalhelpcenter.com/,platform,December 2025,9 Apr 2025
2025-04,2025-04-10,youtube_publish,Youtube,Sponsored Video,They Thought China Wouldn't Notice...,12400,1300,,,,,,,,https://youtu.be/nUz3H7bRvRA,direct,December 2025,
2025-04,2025-04-13,youtube_publish,Youtube,Sponsored Video,SBA Finally ALLOWS This... MASSIVE OPPORTUNITY,23500,2400,,,,,,,,https://youtu.be/aXG5o7yXzlA,direct,December 2025,
2025-04,2025-04-19,provided,Youtube,Custom Video,Bank Said NO... Then He Made MILLIONS!,26000,2300,,,,,,,,https://www.youtube.com/watch?v=eDYXxIFveBg,direct,December 2025,19 Apr 2025
2025-04,2025-04-22,matched_provided,LinkedIn,Sponsored Post,Banks Hate This Secret (But You')...,467,,46,21,,,,,,https://www.linkedin.com/company/govcongiants,platform,July 2025,22 Apr 2025
2025-04,2025-04-23,provided,LinkedIn,Sponsored Post,Rejected… T...,402,,37,15,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,23 Apr 2025
2025-04,2025-04-29,provided,LinkedIn,Sponsored Post,Struggling wit...,489,,192,176,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,29 Apr 2025
2025-04,2025-04-30,provided,FHC,Webinar,,,,,,26,51,,,,https://federalhelpcenter.com/,platform,December 2025,30 Apr 2025
2025-04,2025-04-30,youtube_publish,Youtube,Sponsored Video,Factories Are Fleeing China—But Not Where You Think,29100,2800,,,,,,,,https://youtu.be/W49tW6Hw2hQ,direct,December 2025,
2025-05,2025-05-02,youtube_publish,Youtube,Sponsored Video,The 5-Slide Strategy That Wins Government Contracts in 2025,37200,3500,,,,,,,,https://youtu.be/2qP5u3Wz2GI,direct,December 2025,
2025-05,2025-05-06,youtube_publish,Youtube,Sponsored Video,Her First Contract Came Without Funding or Past Performance - Erica Dobbs,30400,2700,,,,,,,,https://youtu.be/-zv8RHXN6cE,direct,December 2025,
2025-05,2025-05-10,youtube_publish,Youtube,Sponsored Video,Hollywood Star REVEALS Government Contract SECRETS! - Malik Yoba,52000,5500,,,,,,,,https://youtu.be/fBAIdqLJUv8,direct,December 2025,
2025-05,2025-05-12,youtube_publish,Youtube,Sponsored Video,Start Winning Construction Contracts with Zero Past Performance,16900,1300,,,,,,,,https://youtu.be/50NAAX_TJcE,direct,December 2025,
2025-05,2025-05-14,provided,LinkedIn,Sponsored Post,Just rolled up...,2096,,114,35,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,14 May 2025
2025-05,2025-05-20,youtube_publish,Youtube,Sponsored Video,World's Fastest Proposal Writer vs AI proposal writer (not ChatGPT),15300,951,,,,,,,,https://www.youtube.com/watch?v=jJrVAr4PuJw,direct,December 2025,
2025-05,2025-05-22,provided,LinkedIn,Sponsored Post,Subcontracting...,243,,10,6,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,22 May 2025
2025-05,2025-05-22,provided,Youtube,Custom Video,Millions of dollars in funding for minority entrepreneurs,13700,1200,,,,,,,,https://www.youtube.com/watch?v=WC9X3xF3E7Q,direct,December 2025,22 May 2025
2025-05,2025-05-28,youtube_publish,Youtube,Sponsored Video,How to Get Startup Funding For a Small Business,36200,2800,,,,,,,,https://youtu.be/dtEpfEFrreQ,direct,December 2025,
2025-05,2025-05-30,matched_provided,LinkedIn,Sponsored Post,Joel Adelman's favorite book?...,325,,19,11,,,,,,https://www.linkedin.com/company/govcongiants,platform,July 2025,30 May 2025
2025-05,2025-05-30,youtube_publish,Youtube,Sponsored Video,Why Most Businesses Stall After $1M - And How She Broke Through,13600,874,,,,,,,,https://youtu.be/70pAKA7HrX0,direct,December 2025,
2025-05,2025-05-31,provided,LinkedIn,Sponsored Post,Think small...,204,,10,8,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,31 May 2025
2025-06,2025-06-03,youtube_publish,Youtube,Sponsored Video,50 Game Changing Government Contracting Tips in 15 Minutes,13600,1600,,,,,,,,https://youtu.be/Dw-JAPwFAlg,direct,December 2025,
